development_name,borough,development_acc_unit_count,inspection_date,raw_score,h_s_score,smoke_detectors,reac_date_2,second_score,second_h_s_score,second_smoke_detectors,reac_date_3,third_score,third_h_s_score,third_smoke_detectors,latitude,longitude
E.R. Moore,Bronx,463,2022-12-01T00:00:00Z,23,C,Yes,2018-08-28T00:00:00Z,60,C,No,2017-01-31T00:00:00Z,61,,No,40.812868,-73.909992
Sen. Robert A. Taft,New York,1570,2023-03-14T00:00:00Z,58,C,No,2019-08-12T00:00:00Z,23,C,Yes,2016-12-12T00:00:00Z,74,,No,40.798698,-73.947004
Oceanbay Apartments (Oceanside),Far Rockaway,418,2023-01-17T00:00:00Z,52,C,Yes,2019-08-05T00:00:00Z,49,C,Yes,2016-12-05T00:00:00Z,63,,No,40.593698,-73.785272
Samuel Gompers,New York,1510,2023-03-06T00:00:00Z,31,C,Yes,2019-09-16T00:00:00Z,28,C,Yes,2017-01-31T00:00:00Z,78,,No,40.71896,-73.98175
Gouverneur Morris I,Bronx,1886,2023-02-16T00:00:00Z,26,C,No,2018-08-20T00:00:00Z,53,C,No,2015-11-02T00:00:00Z,82,,No,40.837154,-73.904366
Richmond Terrace,Staten Island,869,2022-12-16T00:00:00Z,48,C,No,2019-07-29T00:00:00Z,14,C,Yes,2016-12-21T00:00:00Z,78,,No,40.642314,-74.097405
De Hostos Apartments,New York,982,2023-03-29T00:00:00Z,14,C,No,2019-08-26T00:00:00Z,5,C,Yes,2017-06-13T00:00:00Z,33,,No,40.783487,-73.950977
Tompkins,Brooklyn,1046,2022-12-07T00:00:00Z,14,C,Yes,2018-08-07T00:00:00Z,77,C,No,2017-04-03T00:00:00Z,67,,No,40.69786,-73.94533
1010 E. 178th St.,Bronx,220,2022-02-23T00:00:00Z,32,C,Yes,2018-10-02T00:00:00Z,31,,No,2015-11-09T00:00:00Z,84,,No,40.840796,-73.880297
J.L. Elliot,New York,686,2023-02-16T00:00:00Z,15,C,Yes,2018-12-17T00:00:00Z,63,C,No,2017-04-11T00:00:00Z,81,,No,40.727837,-73.982626
Eleanor Roosevelt I,Brooklyn,1104,2022-09-22T00:00:00Z,35,C,No,2019-02-11T00:00:00Z,51,,No,2017-02-21T00:00:00Z,87,,No,40.69347,-73.936592
Boston-Secor,Bronx,538,2022-12-16T00:00:00Z,54,C,Yes,2018-08-07T00:00:00Z,76,C,No,2017-03-27T00:00:00Z,68,,No,40.882811,-73.833916
Stanley Isaacs,New York,1323,2022-12-06T00:00:00Z,75,C,Yes,2018-09-26T00:00:00Z,79,C,No,2017-03-22T00:00:00Z,25,,No,40.780779,-73.946529
Daniel Webster,Bronx,812,2022-11-28T00:00:00Z,65,B,Yes,2018-09-24T00:00:00Z,79,C,No,2015-12-01T00:00:00Z,81,,No,40.832959,-73.908519
John P. Mitchel,Bronx,1730,2023-03-02T00:00:00Z,57,C,Yes,2019-02-11T00:00:00Z,54,C,Yes,2017-01-25T00:00:00Z,82,,No,40.808701,-73.923386
Nathan Straus,New York,267,2022-12-22T00:00:00Z,69,C,No,2018-09-11T00:00:00Z,60,C,No,2015-11-04T00:00:00Z,83,,No,40.741395,-73.979865
Ocean Hill Apts,Brooklyn,361,2022-12-20T00:00:00Z,68,C,No,2018-07-23T00:00:00Z,74,B,No,2015-01-21T00:00:00Z,92,,No,40.685902,-73.917131
Wyckoff Gardens,Brooklyn,829,2022-12-14T00:00:00Z,46,C,Yes,2018-10-17T00:00:00Z,66,C,No,2017-01-30T00:00:00Z,78,,No,40.682932,-73.970162
Gerald J.Carey Gardens,Brooklyn,1256,2022-12-16T00:00:00Z,69,C,Yes,2018-10-02T00:00:00Z,78,C,No,2015-11-09T00:00:00Z,85,,No,40.57497,-73.99028
William Reid Apts,Brooklyn,804,2022-09-26T00:00:00Z,20,C,Yes,2019-09-16T00:00:00Z,3,,No,2017-03-06T00:00:00Z,62,,No,40.661989,-73.938367
Langston Hughes Apts,Brooklyn,1032,2022-12-12T00:00:00Z,63,C,No,2018-08-22T00:00:00Z,75,C,No,2015-01-12T00:00:00Z,94,,No,40.664357,-73.902104
Seth Low,Brooklyn,976,2022-10-25T00:00:00Z,8,C,No,2018-09-10T00:00:00Z,51,C,No,2015-01-13T00:00:00Z,92,,No,40.669439,-73.90448
Surfside Gardens,Brooklyn,1508,2023-03-02T00:00:00Z,38,C,Yes,2018-08-14T00:00:00Z,68,C,No,2015-12-01T00:00:00Z,81,,No,40.574963,-73.992581
Gravesend,Brooklyn,1332,2023-03-22T00:00:00Z,58,C,Yes,2018-10-30T00:00:00Z,52,C,Yes,2017-01-04T00:00:00Z,48,,No,40.57362,-74.00068
Lewis H. Latimer Gardens,Flushing,919,2023-02-07T00:00:00Z,18,C,No,2019-02-04T00:00:00Z,59,C,Yes,2016-12-12T00:00:00Z,81,,No,40.765843,-73.830402
Vandalia Avenue,Brooklyn,293,2022-11-23T00:00:00Z,90,C,No,2018-09-17T00:00:00Z,74,C,No,2017-01-10T00:00:00Z,74,,No,40.650925,-73.886772
Ft Independence/Heath Ave,Bronx,577,2022-12-16T00:00:00Z,72,C,No,2018-10-30T00:00:00Z,77,C,No,2017-06-07T00:00:00Z,76,,No,40.879896,-73.90035
Fha Repossessed Houses V,Queens,199,2023-02-22T00:00:00Z,32,C,Yes,2019-09-23T00:00:00Z,22,C,Yes,2017-07-10T00:00:00Z,36,,No,40.671303,-73.877901
Stuyvesant Gardens I,Brooklyn,481,2022-11-14T00:00:00Z,8,C,No,2018-10-29T00:00:00Z,68,C,No,2015-01-20T00:00:00Z,94,,No,40.688197,-73.930287
Twin Parks East (Site 9),Bronx,458,2022-12-07T00:00:00Z,17,C,Yes,2018-10-30T00:00:00Z,33,C,No,2017-01-24T00:00:00Z,54,,No,40.85049,-73.892452
Taylor St/Wythe Ave,Brooklyn,525,2022-12-07T00:00:00Z,48,C,Yes,2018-10-23T00:00:00Z,73,C,No,2015-12-15T00:00:00Z,80,,No,40.704192,-73.964607
U.P.A.C.A. Ura (Site 5),New York,636,2023-01-17T00:00:00Z,29,C,No,2019-08-19T00:00:00Z,15,C,Yes,2016-12-07T00:00:00Z,71,,No,40.801759,-73.940133
Borinquen Plaza Stage I,Brooklyn,934,2022-10-04T00:00:00Z,39,C,Yes,2018-08-13T00:00:00Z,74,,No,2015-10-06T00:00:00Z,82,,No,40.70332,-73.943476
Marcus Garvey (Group A),Brooklyn,521,2022-10-18T00:00:00Z,41,C,No,2018-12-17T00:00:00Z,60,,No,2017-01-09T00:00:00Z,80,,No,40.67008,-73.91495
Pedro A. Campos Plaza Ii,New York,224,2022-12-23T00:00:00Z,50,C,No,2018-09-04T00:00:00Z,72,C,No,2017-01-11T00:00:00Z,74,,No,40.72883,-73.977477
Unity Plaza Sites 4-27,Brooklyn,860,2022-10-28T00:00:00Z,4,C,No,2018-10-01T00:00:00Z,75,C,No,2015-12-08T00:00:00Z,82,,No,40.66697,-73.89669
Andrew Jackson,Bronx,1711,2022-11-30T00:00:00Z,10,C,Yes,2018-11-07T00:00:00Z,66,C,No,2016-11-29T00:00:00Z,70,,No,40.8242,-73.91754
Sack-Wern Houses,Bronx,814,2023-02-21T00:00:00Z,40,C,Yes,2019-07-08T00:00:00Z,28,C,Yes,2016-11-28T00:00:00Z,69,,No,40.820522,-73.867989
Lower East Side Ii,New York,476,2023-02-14T00:00:00Z,8,C,Yes,2019-07-29T00:00:00Z,43,C,Yes,2015-02-09T00:00:00Z,97,,No,40.785853,-73.975341
Claremont Group Iv,Bronx,749,2023-02-23T00:00:00Z,33,C,Yes,2019-07-09T00:00:00Z,49,C,Yes,2016-12-13T00:00:00Z,67,,No,40.829265,-73.915108
Taft Rehab 201-203 W. 117,New York,268,2023-03-15T00:00:00Z,41,C,Yes,2019-08-26T00:00:00Z,48,C,Yes,2015-12-31T00:00:00Z,83,,No,40.804463,-73.953057
University Ave Rehab,Bronx,414,2023-02-15T00:00:00Z,57,C,Yes,2018-12-17T00:00:00Z,33,C,Yes,2017-01-18T00:00:00Z,91,,No,40.853486,-73.912991
Union Ave/E 163rd Site 5,Bronx,917,2023-03-20T00:00:00Z,25,C,Yes,2018-07-30T00:00:00Z,64,C,No,2017-06-05T00:00:00Z,47,,No,40.823261,-73.901249000000007
Howard Ave/Park Place,Brooklyn,894,2022-10-14T00:00:00Z,18,C,No,2018-10-29T00:00:00Z,76,,No,2015-10-13T00:00:00Z,76,,No,40.676259,-73.920039
Lower East Side Iii,New York,104,2023-03-03T00:00:00Z,26,C,Yes,2019-07-29T00:00:00Z,43,C,Yes,2015-02-09T00:00:00Z,97,,No,40.785853,-73.975341
West Farms Road,Bronx,830,2022-11-15T00:00:00Z,30,C,Yes,2019-02-04T00:00:00Z,34,C,Yes,2017-06-12T00:00:00Z,84,,No,40.829991,-73.887073
Highbrdge Rehab/Anderson Ave,Bronx,20,2022-02-25T00:00:00Z,68,C,Yes,2018-10-29T00:00:00Z,49,,No,2015-03-02T00:00:00Z,94,,No,40.836092,-73.926124
Marble Hill,Bronx,1425,2022-11-10T00:00:00Z,24,C,Yes,2019-02-11T00:00:00Z,25,C,Yes,2017-01-30T00:00:00Z,81,,No,40.874868,-73.907826
Castle Hill,Bronx,1619,2023-02-28T00:00:00Z,33,C,Yes,2018-08-21T00:00:00Z,48,C,Yes,2017-06-21T00:00:00Z,54,,No,40.82047,-73.8496
Manhattanville,New York,1068,2023-01-18T00:00:00Z,11,C,No,2019-08-05T00:00:00Z,14,C,Yes,2016-12-05T00:00:00Z,71,,No,40.81748,-73.954
Marlboro,Brooklyn,1413,2023-02-27T00:00:00Z,32,C,Yes,2019-09-16T00:00:00Z,27,C,Yes,2016-12-06T00:00:00Z,73,,No,40.591934,-73.982826
Bushwick,Brooklyn,1011,2022-09-21T00:00:00Z,37,C,No,2018-09-11T00:00:00Z,69,,No,2017-01-24T00:00:00Z,67,,No,40.70243,-73.93953
Bay View,Brooklyn,1269,2022-11-16T00:00:00Z,33,C,No,2018-10-22T00:00:00Z,74,C,No,NA,NA,NA,NA,40.63308,-73.888648
Saint Marys Park,Bronx,797,2022-12-12T00:00:00Z,38,C,Yes,2018-10-31T00:00:00Z,76,C,No,2017-01-11T00:00:00Z,49,,No,40.814728,-73.910051
Rutgers,New York,619,2023-03-13T00:00:00Z,49,C,No,NA,NA,NA,NA,NA,NA,NA,NA,40.746992,-73.983975
Drew Hamilton,New York,934,2022-12-22T00:00:00Z,11,C,Yes,2018-08-14T00:00:00Z,30,,No,2017-04-03T00:00:00Z,39,,No,40.820404,-73.941139
Stapleton,Richmond,565,2022-10-25T00:00:00Z,58,C,Yes,2019-08-20T00:00:00Z,36,C,Yes,2015-11-17T00:00:00Z,80,,No,40.622267,-74.082056
Chelsea,New York,357,2023-02-13T00:00:00Z,51,C,Yes,2018-08-14T00:00:00Z,55,C,No,2017-03-21T00:00:00Z,62,,No,40.737976,-73.976746
Amsterdam Addition,New York,149,2022-09-22T00:00:00Z,36,C,No,2018-08-20T00:00:00Z,62,,No,2015-01-22T00:00:00Z,92,,No,40.774661,-73.987003
Frederick Samuel (City),New York,559,2023-01-10T00:00:00Z,18,C,No,2019-08-12T00:00:00Z,4,C,No,2017-02-27T00:00:00Z,59,,No,40.820223,-73.937222
1070 Washington Avenue,Bronx,21,2022-02-25T00:00:00Z,59,C,Yes,NA,NA,NA,NA,NA,NA,NA,NA,40.827681,-73.908408
Prospect Plaza Phase I,Brooklyn,38,2022-11-17T00:00:00Z,71,C,Yes,NA,NA,NA,NA,NA,NA,NA,NA,40.67273,-73.91783
Prospect Plaza Phase Ii,Brooklyn,42,2022-11-29T00:00:00Z,91,C,No,2021-11-30T00:00:00Z,91,B,No,2018-09-18T00:00:00Z,99,A,No,40.6785,-73.9199
Randolph South,New York,147,2022-11-09T00:00:00Z,68,C,Yes,2019-02-04T00:00:00Z,71,B,No,2017-02-13T00:00:00Z,97,,No,40.802543,-73.955553
