development,x_need_20,total_number_of_apartments,cap_per_unit,cat_1,cat_1_amt,cat_2,cat_2_amt,cat_3,cat_3_amt
MILL BROOK EXTENSION,54874764.07,125,438998.11256,Apartments,24921391.52,Heating,8821614.69,Building Exterior/Facade/Window,8376488.59
MITCHEL,725750131.13,1732,419024.32513279445,Apartments,298377429.25,Heating,179213748.9,Building Exterior/Facade/Window,97331673.78
MONROE,512548021.83,1102,465107.0978493648,Apartments,223191003.35999998,Heating,81358966.85000001,Common Areas/Lobbies,36863776.85
MOORE,189315266.31,463,408888.2641684665,Apartments,85758479.44,Heating,32827643.799999997,Building Exterior/Facade/Window,24206191.66
MORRIS I,534566297.32,1085,492687.8316313364,Apartments,223193268.96,Heating,102558515.55,Building Exterior/Facade/Window,74013566.19
MORRIS II,350437209.57,802,436954.1266458853,Apartments,154558670,Heating,59034487.470000006,Building Exterior/Facade/Window,47341176.76
MORRIS PARK SENIOR CITIZENS HOME,39008763.81,97,402152.20422680414,Apartments,14459171.07,Interior Electrical/Lighting,5921464.65,Heating,4537517.25
MORRISANIA,94555452.99000001,206,459007.0533495146,Apartments,40778190.910000004,Building Exterior/Facade/Window,16319537.33,Heating,12212230.879999999
MORRISANIA AIR RIGHTS,332366977.99,843,394266.8778054567,Apartments,161973109.73000002,Heating,59638423.379999995,Common Areas/Lobbies,24962388.56
MOTT HAVEN,450935266.43,993,454114.06488418934,Apartments,200487112.25,Heating,67003149.62,Building Exterior/Facade/Window,61556546.73
NEW LANE AREA,98171966.64,277,354411.4319133574,Apartments,44273424.61,Heating,28591326.41,Common Areas/Lobbies,7002374.56
NOSTRAND,606873755.14,1148,528635.6752090593,Apartments,205578876.35,Heating,118823115.63000001,Building Exterior/Facade/Window,55897772.449999996
O'DWYER GARDENS,241402345.32,573,421295.5415706806,Apartments,105671111.5,Building Exterior/Facade/Window,31040459.21,Heating,30239427.080000002
OCEAN BAY APARTMENTS (OCEANSIDE),237465978.83,418,568100.4278229666,Apartments,74357508.93,Building Exterior/Facade/Window,40880955.019999996,Heating,29710499.009999998
OCEAN HILL APARTMENTS,123652159.52,238,519546.8887394958,Apartments,45613374.239999995,Heating,23408756.12,Building Exterior/Facade/Window,17659616.41
OCEAN HILL-BROWNSVILLE,55817461.2,125,446539.68960000004,Apartments,24736034.62,Building Exterior/Facade/Window,7095417.85,Heating,5926098.7
PARK ROCK REHAB,68959689.4,134,514624.54776119406,Apartments,28353846.22,Building Exterior/Facade/Window,7263551.79,Interior Electrical/Lighting,7157508.29
PARKSIDE,464010411.43,879,527884.4271103527,Apartments,161417152.45,Building Exterior/Facade/Window,77594742.27,Heating,62750040.17
PATTERSON,727512591.03,1791,406204.6851088777,Apartments,355799197.42,Heating,86985990.78,Building Exterior/Facade/Window,65767948.82
PELHAM PARKWAY,676493006.77,1266,534354.6656951027,Apartments,220788482.2,Heating,100776508.38,Building Exterior/Facade/Window,77585481.71000001
PINK,694700627.65,1500,463133.75176666665,Apartments,282981084,Building Exterior/Facade/Window,123907545.19,Heating,114463689.75999999
POLO GROUNDS TOWERS,648982241.36,1614,402095.56465923175,Apartments,280358444.49,Heating,115896803.59,Building Exterior/Facade/Window,57544516.69
POMONOK,1094723758.93,2071,528596.6967310478,Apartments,359018681.04,Plumbing,245471688.17999998,Heating,164953134.12
